"ISO3166_1","Crop","Type","pH_type","value","unit","prop"
"MR","BARL","Area","All",590,"km2",NA
"ML","BARL","Area","All",19,"km2",NA
"BF","BARL","Area","All",0,"km2",NA
"TG","BARL","Area","All",0,"km2",NA
"GH","BARL","Area","All",0,"km2",NA
"CI","BARL","Area","All",0,"km2",NA
"GN","BARL","Area","All",0,"km2",NA
"SN","BARL","Area","All",1,"km2",NA
"GM","BARL","Area","All",0,"km2",NA
"GW","BARL","Area","All",0,"km2",NA
"SL","BARL","Area","All",0,"km2",NA
"LR","BARL","Area","All",0,"km2",NA
"BJ","BARL","Area","All",0,"km2",NA
"NG","BARL","Area","All",0,"km2",NA
"CM","BARL","Area","All",0,"km2",NA
"CG","BARL","Area","All",0,"km2",NA
"GA","BARL","Area","All",0,"km2",NA
"CG","BARL","Area","All",0,"km2",NA
"CF","BARL","Area","All",0,"km2",NA
"CD","BARL","Area","All",1203,"km2",NA
"TD","BARL","Area","All",0,"km2",NA
"NE","BARL","Area","All",0,"km2",NA
"SD","BARL","Area","All",0,"km2",NA
"ER","BARL","Area","All",50853,"km2",NA
"ET","BARL","Area","All",587458,"km2",NA
"DJ","BARL","Area","All",0,"km2",NA
"SO","BARL","Area","All",0,"km2",NA
"SS","BARL","Area","All",0,"km2",NA
"KE","BARL","Area","All",19226,"km2",NA
"UG","BARL","Area","All",0,"km2",NA
"TZ","BARL","Area","All",6224,"km2",NA
"MZ","BARL","Area","All",0,"km2",NA
"MG","BARL","Area","All",0,"km2",NA
"MW","BARL","Area","All",0,"km2",NA
"ZM","BARL","Area","All",5502,"km2",NA
"ZW","BARL","Area","All",9034,"km2",NA
"BW","BARL","Area","All",0,"km2",NA
"NA","BARL","Area","All",0,"km2",NA
"AO","BARL","Area","All",0,"km2",NA
"BI","BARL","Area","All",0,"km2",NA
"RW","BARL","Area","All",0,"km2",NA
"ZA","BARL","Area","All",79040,"km2",NA
"LS","BARL","Area","All",2272,"km2",NA
"SZ","BARL","Area","All",0,"km2",NA
"MR","BARL","Area","Acid",0,"km2",0
"ML","BARL","Area","Acid",0,"km2",0
"BF","BARL","Area","Acid",0,"km2",NA
"TG","BARL","Area","Acid",0,"km2",NA
"GH","BARL","Area","Acid",0,"km2",NA
"CI","BARL","Area","Acid",0,"km2",NA
"GN","BARL","Area","Acid",0,"km2",NA
"SN","BARL","Area","Acid",0,"km2",0
"GM","BARL","Area","Acid",0,"km2",NA
"GW","BARL","Area","Acid",0,"km2",NA
"SL","BARL","Area","Acid",0,"km2",NA
"LR","BARL","Area","Acid",0,"km2",NA
"BJ","BARL","Area","Acid",0,"km2",NA
"NG","BARL","Area","Acid",0,"km2",NA
"CM","BARL","Area","Acid",0,"km2",NA
"CG","BARL","Area","Acid",0,"km2",NA
"GA","BARL","Area","Acid",0,"km2",NA
"CG","BARL","Area","Acid",0,"km2",NA
"CF","BARL","Area","Acid",0,"km2",NA
"CD","BARL","Area","Acid",912,"km2",0.758104738154613
"TD","BARL","Area","Acid",0,"km2",NA
"NE","BARL","Area","Acid",0,"km2",NA
"SD","BARL","Area","Acid",0,"km2",NA
"ER","BARL","Area","Acid",0,"km2",0
"ET","BARL","Area","Acid",21976,"km2",0.0374086317660156
"DJ","BARL","Area","Acid",0,"km2",NA
"SO","BARL","Area","Acid",0,"km2",NA
"SS","BARL","Area","Acid",0,"km2",NA
"KE","BARL","Area","Acid",1323,"km2",0.0688130656402788
"UG","BARL","Area","Acid",0,"km2",NA
"TZ","BARL","Area","Acid",101,"km2",0.0162275064267352
"MZ","BARL","Area","Acid",0,"km2",NA
"MG","BARL","Area","Acid",0,"km2",NA
"MW","BARL","Area","Acid",0,"km2",NA
"ZM","BARL","Area","Acid",412,"km2",0.0748818611414031
"ZW","BARL","Area","Acid",40,"km2",0.00442771751162276
"BW","BARL","Area","Acid",0,"km2",NA
"NA","BARL","Area","Acid",0,"km2",NA
"AO","BARL","Area","Acid",0,"km2",NA
"BI","BARL","Area","Acid",0,"km2",NA
"RW","BARL","Area","Acid",0,"km2",NA
"ZA","BARL","Area","Acid",5,"km2",6.32591093117409e-05
"LS","BARL","Area","Acid",0,"km2",0
"SZ","BARL","Area","Acid",0,"km2",NA
"MR","BARL","Prod","All",1283,"MT",NA
"ML","BARL","Prod","All",26,"MT",NA
"BF","BARL","Prod","All",0,"MT",NA
"TG","BARL","Prod","All",0,"MT",NA
"GH","BARL","Prod","All",0,"MT",NA
"CI","BARL","Prod","All",0,"MT",NA
"GN","BARL","Prod","All",0,"MT",NA
"SN","BARL","Prod","All",3,"MT",NA
"GM","BARL","Prod","All",0,"MT",NA
"GW","BARL","Prod","All",0,"MT",NA
"SL","BARL","Prod","All",0,"MT",NA
"LR","BARL","Prod","All",0,"MT",NA
"BJ","BARL","Prod","All",0,"MT",NA
"NG","BARL","Prod","All",0,"MT",NA
"CM","BARL","Prod","All",0,"MT",NA
"CG","BARL","Prod","All",0,"MT",NA
"GA","BARL","Prod","All",0,"MT",NA
"CG","BARL","Prod","All",0,"MT",NA
"CF","BARL","Prod","All",0,"MT",NA
"CD","BARL","Prod","All",805,"MT",NA
"TD","BARL","Prod","All",0,"MT",NA
"NE","BARL","Prod","All",0,"MT",NA
"SD","BARL","Prod","All",0,"MT",NA
"ER","BARL","Prod","All",52126,"MT",NA
