ISO3166_1,country_na
AO,Angola
BJ,Benin
BW,Botswana
BF,Burkina Faso
BI,Burundi
CM,Cameroon
CF,Central African Rep.
TD,Chad
CI,Cote d'Ivoire
CD,Dem. Rep. of the Congo
DJ,Djibouti
CG,Equatorial Guinea
ER,Eritrea
ET,Ethiopia
GA,Gabon
GM,The Gambia
GH,Ghana
GN,Guinea
GW,Guinea-Bissau
KE,Kenya
LS,Lesotho
LR,Liberia
MG,Madagascar
MW,Malawi
ML,Mali
MR,Mauritania
MZ,Mozambique
NA,Namibia
NE,Niger
NG,Nigeria
CG,Rep. of the Congo
RW,Rwanda
SN,Senegal
SL,Sierra Leone
SO,Somalia
ZA,South Africa
SS,South Sudan
SD,Sudan
SZ,Eswatini
TZ,Tanzania
TG,Togo
UG,Uganda
ZM,Zambia
ZW,Zimbabwe
SSA,sub-Saharan Africa
