"ISO3166_1","ph_class","area_km","prop"
NA,NA,NA,NA
"MR","ph_class1",0,0
"MR","ph_class2",5069.25,0.494524790868961
"MR","ph_class3",4993.25,0.48711069921713
"MR","ph_class4",177,0.0172670292417628
"MR","ph_class5",11.25,0.00109748067214594
"ML","ph_class1",206.75,0.00107751881423419
"ML","ph_class2",149612.25,0.77973404698868
"ML","ph_class3",39668.25,0.206738987679543
"ML","ph_class4",2380.5,0.0124064499989577
"ML","ph_class5",8.25,4.29965185849194e-05
"BF","ph_class1",221,0.00149138405163833
"BF","ph_class2",111455,0.752136694458597
"BF","ph_class3",35846.5,0.241904517678975
"BF","ph_class4",662,0.00446740381078993
"BF","ph_class5",0,0
"TG","ph_class1",3.5,0.000408520571928801
"TG","ph_class2",7089,0.827429238400934
"TG","ph_class3",1475,0.172162241027137
"TG","ph_class4",0,0
"TG","ph_class5",0,0
"GH","ph_class1",7006.25,0.0686313644723405
"GH","ph_class2",85347.75,0.836043894686059
"GH","ph_class3",9722,0.0952341302979618
"GH","ph_class4",9.25,9.06105436387725e-05
"GH","ph_class5",0,0
"CI","ph_class1",32441.25,0.246565581713504
"CI","ph_class2",98820.5,0.751072602557525
"CI","ph_class3",310.75,0.00236181572897072
"CI","ph_class4",0,0
"CI","ph_class5",0,0
"GN","ph_class1",12324.75,0.607459707230519
"GN","ph_class2",7964.25,0.392540292769481
"GN","ph_class3",0,0
"GN","ph_class4",0,0
"GN","ph_class5",0,0
"SN","ph_class1",2838.5,0.0528567504783364
"SN","ph_class2",36620.5,0.681923773433827
"SN","ph_class3",12915.5,0.240504266620734
"SN","ph_class4",1313.75,0.0244638210114196
"SN","ph_class5",13.5,0.000251388455683474
"GM","ph_class1",798,0.143235360107696
"GM","ph_class2",4771.75,0.856495400493606
"GM","ph_class3",1.5,0.000269239398698676
"GM","ph_class4",0,0
"GM","ph_class5",0,0
"GW","ph_class1",3108.75,0.860672757475083
"GW","ph_class2",503.25,0.139327242524917
"GW","ph_class3",0,0
"GW","ph_class4",0,0
"GW","ph_class5",0,0
"SL","ph_class1",27439.5,0.986438027447491
"SL","ph_class2",377.25,0.0135619725525088
"SL","ph_class3",0,0
"SL","ph_class4",0,0
"SL","ph_class5",0,0
"LR","ph_class1",46753.25,0.879999058889961
"LR","ph_class2",6375.5,0.120000941110039
"LR","ph_class3",0,0
"LR","ph_class4",0,0
"LR","ph_class5",0,0
"BJ","ph_class1",27.75,0.000574293386313192
"BJ","ph_class2",45822.75,0.948313595231813
"BJ","ph_class3",2463.75,0.0509879398388874
"BJ","ph_class4",6,0.000124171542986636
"BJ","ph_class5",0,0
"NG","ph_class1",8551.5,0.0176673481003701
"NG","ph_class2",389556.5,0.804821410309517
"NG","ph_class3",82829,0.171124220991119
"NG","ph_class4",2912.5,0.00601720766442472
"NG","ph_class5",179,0.000369812934568935
"CM","ph_class1",8151.5,0.111211539314231
"CM","ph_class2",46943.5,0.640453768729386
"CM","ph_class3",18184.25,0.248089116576679
"CM","ph_class4",18,0.000245575379703877
"CM","ph_class5",0,0
"CG","ph_class1",2359,0.968887976178252
"CG","ph_class2",75.75,0.0311120238217476
"CG","ph_class3",0,0
"CG","ph_class4",0,0
"CG","ph_class5",0,0
"GA","ph_class1",6365.75,0.990084765533867
"GA","ph_class2",63.75,0.00991523446613267
"GA","ph_class3",0,0
"GA","ph_class4",0,0
"GA","ph_class5",0,0
"CG","ph_class1",12556.75,0.907263235851954
"CG","ph_class2",1283.5,0.0927367641480465
"CG","ph_class3",0,0
"CG","ph_class4",0,0
"CG","ph_class5",0,0
"CF","ph_class1",39.25,0.00130953373926099
"CF","ph_class2",16687,0.556743681708233
"CF","ph_class3",12494.25,0.416857119025774
"CF","ph_class4",706,0.0235549253482359
"CF","ph_class5",46,0.00153474017849696
"CD","ph_class1",144444.25,0.754659338334119
"CD","ph_class2",46650.5,0.24372888130165
