"ISO3166_1","ph_class","population","prop"
"MR","ph_class1",0,0
"MR","ph_class2",83894,0.515831915308976
"MR","ph_class3",76372.75,0.469586643978277
"MR","ph_class4",2270.25,0.0139588934337402
"MR","ph_class5",101.25,0.000622547279007245
"ML","ph_class1",12254.5,0.00199728086537048
"ML","ph_class2",5520703.5,0.899783382751957
"ML","ph_class3",597855,0.0974404791518275
"ML","ph_class4",4758.25,0.000775516069823257
"ML","ph_class5",20.5,3.34116102167326e-06
"BF","ph_class1",8273.75,0.00106296040205116
"BF","ph_class2",5755850.25,0.739476162065119
"BF","ph_class3",2001220.25,0.257104442548171
"BF","ph_class4",18341.75,0.00235643498465894
"BF","ph_class5",0,0
"TG","ph_class1",387.25,0.00056208539851637
"TG","ph_class2",574976.5,0.834566546520459
"TG","ph_class3",113588.5,0.164871368081024
"TG","ph_class4",0,0
"TG","ph_class5",0,0
"GH","ph_class1",686550,0.082229841419652
"GH","ph_class2",6897891,0.826177966732277
"GH","ph_class3",764107.75,0.0915191305950435
"GH","ph_class4",610,7.30612530274382e-05
"GH","ph_class5",0,0
"CI","ph_class1",1869530.25,0.22109787777855
"CI","ph_class2",6561452.25,0.775982719520208
"CI","ph_class3",24685.5,0.00291940270124134
"CI","ph_class4",0,0
"CI","ph_class5",0,0
"GN","ph_class1",708020.5,0.616023811937204
"GN","ph_class2",441319,0.383976188062796
"GN","ph_class3",0,0
"GN","ph_class4",0,0
"GN","ph_class5",0,0
"SN","ph_class1",270146.5,0.0583255293274989
"SN","ph_class2",3546727.75,0.765750336944137
"SN","ph_class3",684816.5,0.147854163776711
"SN","ph_class4",128199.5,0.0276786991392474
"SN","ph_class5",1812.25,0.000391270812406453
"GM","ph_class1",42918.5,0.11465096616583
"GM","ph_class2",331389,0.885260878798848
"GM","ph_class3",33,8.81550353221198e-05
"GM","ph_class4",0,0
"GM","ph_class5",0,0
"GW","ph_class1",198154.75,0.830611154192778
"GW","ph_class2",40410.25,0.169388845807222
"GW","ph_class3",0,0
"GW","ph_class4",0,0
"GW","ph_class5",0,0
"SL","ph_class1",2077981.25,0.989024607325607
"SL","ph_class2",23059.75,0.0109753926743933
"SL","ph_class3",0,0
"SL","ph_class4",0,0
"SL","ph_class5",0,0
"LR","ph_class1",2399420.25,0.857048750353172
"LR","ph_class2",400210.75,0.142951249646828
"LR","ph_class3",0,0
"LR","ph_class4",0,0
"LR","ph_class5",0,0
"BJ","ph_class1",1442,0.000493571336032915
"BJ","ph_class2",2776045.75,0.950191823658805
"BJ","ph_class3",143663.75,0.0491735846234388
"BJ","ph_class4",412,0.00014102038172369
"BJ","ph_class5",0,0
"NG","ph_class1",1344039,0.0296098857093229
"NG","ph_class2",37393488.5,0.823798208800399
"NG","ph_class3",6502494.5,0.143253372090022
"NG","ph_class4",144914.5,0.00319254261418282
"NG","ph_class5",6626.75,0.000145990786074106
"CM","ph_class1",447398.5,0.0998821067939539
"CM","ph_class2",3033810,0.677300738407852
"CM","ph_class3",996983.25,0.222577383357976
"CM","ph_class4",1074,0.000239771440218746
"CM","ph_class5",0,0
"CG","ph_class1",168508.25,0.919834983678505
"CG","ph_class2",14685.75,0.0801650163214952
"CG","ph_class3",0,0
"CG","ph_class4",0,0
"CG","ph_class5",0,0
"GA","ph_class1",132143,0.989046191614929
"GA","ph_class2",1463.5,0.0109538083850711
"GA","ph_class3",0,0
"GA","ph_class4",0,0
"GA","ph_class5",0,0
"CG","ph_class1",174458.25,0.66894719133113
"CG","ph_class2",86337,0.33105280866887
"CG","ph_class3",0,0
"CG","ph_class4",0,0
"CG","ph_class5",0,0
"CF","ph_class1",520,0.000662684400695946
"CF","ph_class2",535592.75,0.682555693367007
"CF","ph_class3",234274.25,0.298557482614889
"CF","ph_class4",13261.25,0.0169000452090945
"CF","ph_class5",1039,0.00132409440831363
"CD","ph_class1",7574047.25,0.687927535179147
"CD","ph_class2",3389387,0.307847649706469
"CD","ph_class3",46515,0.00422481511438393
"CD","ph_class4",0,0
"CD","ph_class5",0,0
"TD","ph_class1",0,0
"TD","ph_class2",1778444.5,0.572856835356017
"TD","ph_class3",1174557,0.378337927309656
"TD","ph_class4",148305.75,0.0477709383734497
"TD","ph_class5",3211,0.00103429896087742
"NE","ph_class1",5794.25,0.00535617265562585
"NE","ph_class2",719895.25,0.665467187809455
"NE","ph_class3",355679.25,0.328787931660441
"NE","ph_class4",202.75,0.000187420978716511
"NE","ph_class5",217.75,0.000201286895760889
"SD","ph_class1",0,0
"SD","ph_class2",774077.5,0.191342471699475
"SD","ph_class3",1918153.5,0.474144038276528
"SD","ph_class4",621779.25,0.153696210710744
"SD","ph_class5",731497.75,0.180817279313253
"ER","ph_class1",0,0
"ER","ph_class2",12684.5,0.0522362936096043
"ER","ph_class3",219841.75,0.905334715648959
"ER","ph_class4",8242.25,0.0339425748751437
"ER","ph_class5",2060.75,0.00848641586629288
"ET","ph_class1",3111687.5,0.104494233010567
"ET","ph_class2",14084923.75,0.472988789609678
"ET","ph_class3",11081910,0.372143952675881
"ET","ph_class4",1285872.75,0.0431811635199351
"ET","ph_class5",214163.25,0.00719186118393966
"DJ","ph_class1",0,0
"DJ","ph_class2",0,0
"DJ","ph_class3",3,0.0701754385964912
"DJ","ph_class4",23.25,0.543859649122807
"DJ","ph_class5",16.5,0.385964912280702
"SO","ph_class1",0,0
"SO","ph_class2",9.5,2.6145697587853e-05
"SO","ph_class3",20057,0.0552004480546913
"SO","ph_class4",69003.25,0.18990927442937
"SO","ph_class5",274278.75,0.754864131818351
"SS","ph_class1",984,0.000788126205917194
"SS","ph_class2",531756.75,0.42590592464264
"SS","ph_class3",508881,0.407583792472914
"SS","ph_class4",84358.5,0.0675662038027089
"SS","ph_class5",122550.75,0.0981559528758197
"KE","ph_class1",1641895.5,0.127684309148442
"KE","ph_class2",10012505.75,0.778636569461059
"KE","ph_class3",1149787.25,0.0894148200564145
"KE","ph_class4",47630.5,0.00370405271644563
"KE","ph_class5",7204.25,0.00056024861763898
"UG","ph_class1",1458886.25,0.104740734981186
"UG","ph_class2",12082263,0.867446044443832
"UG","ph_class3",351871,0.025262577640008
"UG","ph_class4",34825.25,0.00250027874407862
"UG","ph_class5",701.5,5.03641908951451e-05
"TZ","ph_class1",2742730.75,0.11233052917327
"TZ","ph_class2",18124743,0.742312008686791
"TZ","ph_class3",3438074.25,0.140808827056573
"TZ","ph_class4",109438,0.00448211274535948
"TZ","ph_class5",1624.25,6.65223380055387e-05
"MZ","ph_class1",323554.5,0.0296488243873148
"MZ","ph_class2",10017456.25,0.917946748272268
"MZ","ph_class3",542998,0.0497574669635662
"MZ","ph_class4",28850,0.00264366152711223
"MZ","ph_class5",36,3.29884973920416e-06
"MG","ph_class1",864754,0.515151627977355
"MG","ph_class2",758661.25,0.45195000892836
"MG","ph_class3",55224.5,0.0328983630942851
"MG","ph_class4",0,0
"MG","ph_class5",0,0
"MW","ph_class1",107659.75,0.02086615178552
"MW","ph_class2",4479077.75,0.868115671740326
"MW","ph_class3",572802.75,0.111018176474154
"MW","ph_class4",0,0
"MW","ph_class5",0,0
"ZM","ph_class1",175411.5,0.0784874306973793
"ZM","ph_class2",2022224,0.904838998894469
"ZM","ph_class3",37263.75,0.0166735704081515
"ZM","ph_class4",0,0
"ZM","ph_class5",0,0
"ZW","ph_class1",9898.75,0.00219223185314267
"ZW","ph_class2",3399123.25,0.75278861082539
